Pond	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD	Temp
H2	UR+RU	1°„C	UR+RU	NONE	No Ammonia	0.778	GreenNA	Pre	0.029800972	359.6589664	0.002651487	1
H3	8°„C	8°„C	NONE	NONE	No Ammonia	0.492	GreenNA	Pre	0.044121216	636.9523054	0.002216616	8
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	0.713	GreenNA	Pre	0.032527381	510.9729472	0.002037048	4
H5	2°„C	2°„C	NONE	NONE	No Ammonia	0.657	GreenNA	Pre	0.03508355	441.6489199	0.002542005	2
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	0.789	CoarseNA	Post	0.02007669	688.2917682	0.000933404	4
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.844	CoarseNA	Post	0.017970872	690.5607143	0.000832755	4
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.8	CoarseNA	Post	0.019644021	571.7024932	0.001099538	0
A5	1°„C	1°„C	NONE	NONE	No Ammonia	0.722	CoarseNA	Post	0.022849852	589.5273433	0.001240308	1
A8	5°„C	5°„C	NONE	NONE	No Ammonia	0.686	CoarseNA	Post	0.024448211	571.8630313	0.00136806	5
B1	1°„C	1°„C	NONE	NONE	No Ammonia	0.849	CoarseNA	Post	0.017786288	596.5805426	0.000954039	1
B10	8°„C	8°„C	NONE	NONE	No Ammonia	0.69	CoarseNA	Post	0.024266525	786.8680325	0.00098686	8
B3	6°„C	6°„C	NONE	NONE	No Ammonia	0.795	CoarseNA	Post	0.019839946	742.24955	0.000855343	6
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.899	CoarseNA	Post	0.015998042	567.113749	0.000902707	0
B5	RU	0°„C	RU	RU	No Ammonia	0.289	CoarseNA	Post	0.051462303	557.7435207	0.0029526	0
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	0.945	CoarseNA	Post	0.014438608	543.9197722	0.000849455	4
C11	7°„C	7°„C	NONE	NONE	No Ammonia	0.538	CoarseNA	Post	0.032042557	787.2672959	0.001302432	7
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.78	CoarseNA	Post	0.020435202	688.1489649	0.000950269	4
C6	RU	0°„C	RU	RU	No Ammonia	0.771	CoarseNA	Post	0.020797875	555.7259722	0.00119759	0
C7	2°„C	2°„C	NONE	NONE	No Ammonia	0.522	CoarseNA	Post	0.032986025	492.2699615	0.002144256	2
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.701	CoarseNA	Post	0.023772266	546.0259381	0.00139318	4
C9	UR	0°„C	UR	UR	No Ammonia	0.85	CoarseNA	Post	0.017749501	452.6442772	0.001254813	0
D1	RU	0°„C	RU	RU	No Ammonia	0.651	CoarseNA	Post	0.026084711	575.1613241	0.001451264	0
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	0.458	CoarseNA	Post	0.037073475	687.472772	0.00172567	4
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.002	CoarseNA	Post	0.012608347	533.3838903	0.000756429	0
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.829	CoarseNA	Post	0.018531257	545.8326823	0.001086414	4
D9	6°„C	6°„C	NONE	NONE	No Ammonia	0.74	CoarseNA	Post	0.022080319	597.7366259	0.001182076	6
E10	2°„C	2°„C	NONE	NONE	No Ammonia	0.718	CoarseNA	Post	0.023023463	622.0348773	0.00118442	2
E3	UR	0°„C	UR	UR	No Ammonia	0.997	CoarseNA	Post	0.012764676	521.7631767	0.000782864	0
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.807	CoarseNA	Post	0.019371772	568.2869897	0.001090816	0
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.793	CoarseNA	Post	0.019918661	542.8869125	0.001174088	0
F8	2°„C	2°„C	NONE	NONE	No Ammonia	0.857	CoarseNA	Post	0.017493202	609.2640359	0.000918785	2
F9	RU	0°„C	RU	RU	No Ammonia	0.807	CoarseNA	Post	0.019371772	566.6371707	0.001093992	0
G1	2°„C	2°„C	NONE	NONE	No Ammonia	0.309	CoarseNA	Post	0.049371222	623.0917118	0.002535548	2
G3	2°„C	2°„C	NONE	NONE	No Ammonia	0.77	CoarseNA	Post	0.020838434	621.083394	0.001073656	2
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.759	CoarseNA	Post	0.021288082	689.654402	0.000987768	4
G5	3°„C	3°„C	NONE	NONE	No Ammonia	0.711	CoarseNA	Post	0.023329624	655.4091225	0.001139056	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.854	CoarseNA	Post	0.017602787	541.2893702	0.001040643	0
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.902	CoarseNA	Post	0.015893933	555.7136347	0.00091523	0
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.681	CoarseNA	Post	0.024676815	676.2974721	0.001167619	4
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.82225	CoarseNA	Post	0.018786747	535.7892796	0.001122038	0
H3	8°„C	8°„C	NONE	NONE	No Ammonia	0.706	CoarseNA	Post	0.023550161	817.5208655	0.000921818	8
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	0.748	CoarseNA	Post	0.021744294	688.2539508	0.001010989	4
H5	2°„C	2°„C	NONE	NONE	No Ammonia	0.83	CoarseNA	Post	0.018493584	617.1201987	0.000958962	2
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.047	FineNA	Post	0.011235506	688.2917682	0.00052236	4
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.891	FineNA	Post	0.016277374	690.5607143	0.00075428	4
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.972	FineNA	Post	0.013558268	571.7024932	0.000758899	0
A5	1°„C	1°„C	NONE	NONE	No Ammonia	1	FineNA	Post	0.012670785	589.5273433	0.00068778	1
A8	5°„C	5°„C	NONE	NONE	No Ammonia	0.827	FineNA	Post	0.01860674	571.8630313	0.001041186	5
B1	1°„C	1°„C	NONE	NONE	No Ammonia	0.949	FineNA	Post	0.014306612	596.5805426	0.000767393	1
B10	8°„C	8°„C	NONE	NONE	No Ammonia	0.889	FineNA	Post	0.016347598	786.8680325	0.000664817	8
B3	6°„C	6°„C	NONE	NONE	No Ammonia	1.018	FineNA	Post	0.012113287	742.24955	0.00052223	6
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.149	FineNA	Post	0.00833041	567.113749	0.000470052	0
B5	RU	0°„C	RU	RU	No Ammonia	0.978	FineNA	Post	0.01336596	557.7435207	0.000766859	0
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	1.152	FineNA	Post	0.008248923	543.9197722	0.000485302	4
C11	7°„C	7°„C	NONE	NONE	No Ammonia	0.62	FineNA	Post	0.027609403	787.2672959	0.001122238	7
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	0.936	FineNA	Post	0.014737653	688.1489649	0.000685324	4
C6	RU	0°„C	RU	RU	No Ammonia	1.057	FineNA	Post	0.01093845	555.7259722	0.000629862	0
C7	2°„C	2°„C	NONE	NONE	No Ammonia	1.096	FineNA	Post	0.009806185	492.2699615	0.000637451	2
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.087	FineNA	Post	0.010063859	546.0259381	0.000589795	4
C9	UR	0°„C	UR	UR	No Ammonia	0.905	FineNA	Post	0.01579017	452.6442772	0.001116297	0
D1	RU	0°„C	RU	RU	No Ammonia	1.102	FineNA	Post	0.009635575	575.1613241	0.00053609	0
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	1.082	FineNA	Post	0.010207935	687.472772	0.000475152	4
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.112	FineNA	Post	0.009353279	533.3838903	0.000561144	0
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.089	FineNA	Post	0.010006415	545.8326823	0.000586636	4
D9	6°„C	6°„C	NONE	NONE	No Ammonia	0.863	FineNA	Post	0.017275178	597.7366259	0.000924832	6
E10	2°„C	2°„C	NONE	NONE	No Ammonia	0.897	FineNA	Post	0.016067641	622.0348773	0.000826585	2
E3	UR	0°„C	UR	UR	No Ammonia	1.051	FineNA	Post	0.011116344	521.7631767	0.000681771	0
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.008	FineNA	Post	0.012421779	568.2869897	0.000699465	0
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.842	FineNA	Post	0.018045012	542.8869125	0.001063648	0
F8	2°„C	2°„C	NONE	NONE	No Ammonia	0.915	FineNA	Post	0.01544676	609.2640359	0.000811301	2
F9	RU	0°„C	RU	RU	No Ammonia	1.012	FineNA	Post	0.012298017	566.6371707	0.000694512	0
G1	2°„C	2°„C	NONE	NONE	No Ammonia	0.975	FineNA	Post	0.013461966	623.0917118	0.000691364	2
G3	2°„C	2°„C	NONE	NONE	No Ammonia	0.969	FineNA	Post	0.013654868	621.083394	0.000703538	2
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.968	FineNA	Post	0.013687134	689.654402	0.000635084	4
G5	3°„C	3°„C	NONE	NONE	No Ammonia	1.008	FineNA	Post	0.012421779	655.4091225	0.000606487	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.894	FineNA	Post	0.016172332	541.2893702	0.000956078	0
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.923	FineNA	Post	0.015174724	555.7136347	0.000873815	0
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.856	FineNA	Post	0.017529688	676.2974721	0.000829443	4
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.088	FineNA	Post	0.010035124	535.7892796	0.000599347	0
H3	8°„C	8°„C	NONE	NONE	No Ammonia	1.028	FineNA	Post	0.011807811	817.5208655	0.00046219	8
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	1.091	FineNA	Post	0.009949075	688.2539508	0.000462577	4
H5	2°„C	2°„C	NONE	NONE	No Ammonia	1.093	FineNA	Post	0.009891841	617.1201987	0.000512929	2
