Ponds	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.112	Fine	Post	0.009353279	533.3838903	0.000561144
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.089	Fine	Post	0.010006415	545.8326823	0.000586636
D9	6°„C	6°„C		NONE	No Ammonia	0.863	Fine	Post	0.017275178	597.7366259	0.000924832
E10	2°„C	2°„C		NONE	No Ammonia	0.897	Fine	Post	0.016067641	622.0348773	0.000826585
E12	UR	0°„C	UR	UR	Ammonia	1.035	Fine	Post	0.01159574	520.2204033	0.000713282
E2	7°„C	7°„C		NONE	Ammonia	0.877	Fine	Post	0.016772294	784.4387058	0.000684201
E3	UR	0°„C	UR	UR	No Ammonia	1.051	Fine	Post	0.011116344	521.7631767	0.000681771
E4	4°„C	4°„C	4°„C	NONE	Ammonia	0.834	Fine	Post	0.018343343	688.5819035	0.000852458
E5	3°„C	3°„C		NONE	Ammonia	1.093	Fine	Post	0.009891841	654.5107009	0.000483627
E6	RU	0°„C	RU	RU	Ammonia	0.868	Fine	Post	0.017094646	561.9354868	0.000973472
E7	4°„C	4°„C	4°„C	NONE	Ammonia	0.833	Fine	Post	0.018380836	687.504701	0.000855539
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.971	Fine	Post	0.013590435	566.4816887	0.00076771
F1	RU	0°„C	RU	RU	Ammonia	0.821	Fine	Post	0.01883429	561.6053939	0.001073169
F10	6°„C	6°„C		NONE	Ammonia	0.914	Fine	Post	0.015480932	703.2513789	0.000704428
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.008	Fine	Post	0.012421779	568.2869897	0.000699465
F3	4°„C	4°„C	4°„C	NONE	Ammonia	1.028	Fine	Post	0.011807811	687.689493	0.000549448
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.958	Fine	Post	0.014011644	502.7580609	0.000891826
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.842	Fine	Post	0.018045012	542.8869125	0.001063648
F6	5°„C	5°„C		NONE	Ammonia	0.722	Fine	Post	0.022849852	716.9714533	0.001019839
F7	8°„C	8°„C		NONE	Ammonia	0.955	Fine	Post	0.014109658	818.0384424	0.000551941
F8	2°„C	2°„C		NONE	No Ammonia	0.915	Fine	Post	0.01544676	609.2640359	0.000811301
F9	RU	0°„C	RU	RU	No Ammonia	1.012	Fine	Post	0.012298017	566.6371707	0.000694512
G1	2°„C	2°„C		NONE	No Ammonia	0.975	Fine	Post	0.013461966	623.0917118	0.000691364
G11	5°„C	5°„C		NONE	Ammonia	0.836	Fine	Post	0.018268493	720.1580488	0.000811755
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	0.797	Fine	Post	0.019761428	687.7497047	0.000919471
G2	1°„C	1°„C		NONE	Ammonia	0.793	Fine	Post	0.019918661	590.9402444	0.001078615
G3	2°„C	2°„C		NONE	No Ammonia	0.969	Fine	Post	0.013654868	621.083394	0.000703538
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	0.968	Fine	Post	0.013687134	689.654402	0.000635084
G5	3°„C	3°„C		NONE	No Ammonia	1.008	Fine	Post	0.012421779	655.4091225	0.000606487
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.894	Fine	Post	0.016172332	541.2893702	0.000956078
G8	CONTROL	0°„C	CONTROL	NONE	No Ammonia	0.923	Fine	Post	0.015174724	555.7136347	0.000873815
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.009	Fine	Post	0.012390793	552.322465	0.000717887
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.152	Fine	Post	0.008248923	550.0485948	0.000479895
H11	4°„C	4°„C	4°„C	NONE	No Ammonia	0.856	Fine	Post	0.017529688	676.2974721	0.000829443
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.088	Fine	Post	0.010035124	535.7892796	0.000599347
H3	8°„C	8°„C		NONE	No Ammonia	1.028	Fine	Post	0.011807811	817.5208655	0.00046219
H4	4°„C	4°„C	4°„C	NONE	No Ammonia	1.091	Fine	Post	0.009949075	688.2539508	0.000462577
H5	2°„C	2°„C		NONE	No Ammonia	1.093	Fine	Post	0.009891841	617.1201987	0.000512929
H6	UR	0°„C	UR	UR	Ammonia	0.987	Fine	Post	0.013079698	558.59067	0.000749297
H7	7°„C	7°„C		NONE	Ammonia	1.167	Fine	Post	0.007844649	778.6621333	0.000322385
